gameId,year,gameWeek,awayTeam.fullName,homeTeam.fullName,odds.spread,odds.total,odds.history,odds.history,crowd.awayTeam.score,crowd.homeTeam.score,crowd.spread,crowd.total,crowd.results.winner.correct,crowd.results.winner.push,crowd.results.spread.correct,crowd.results.spread.push,crowd.results.total.correct,crowd.results.total.push,crowd.results.predictionScore,results.awayTeam.score,results.homeTeam.score,results.total,results.spread,startDateTime
1109263,2019,2,Tampa Bay Buccaneers,Carolina Panthers,-6.5,48,5.5,51.5,17.07,26.36,-9.29,43.43,0,0,0,0,1,0,2,20,14,34,6,2019-09-13T00:20:00.000Z
1109273,2019,2,Jacksonville Jaguars,Houston Texans,-8.5,43,3.5,43.5,17.24,25.88,-8.65,43.12,1,0,0,0,0,0,2,12,13,25,-1,2019-09-15T17:00:00.000Z
1109293,2019,2,Los Angeles Chargers,Detroit Lions,1.5,47,-3.5,47,27.94,20.63,7.31,48.56,0,0,0,0,0,0,0,10,13,23,-3,2019-09-15T17:00:00.000Z
1109278,2019,2,Indianapolis Colts,Tennessee Titans,-3,43.5,-3,44,19.6,22.2,-2.6,41.8,0,0,1,0,1,0,4,19,17,36,2,2019-09-15T17:00:00.000Z
1109303,2019,2,Buffalo Bills,New York Giants,2,44.5,-2,42.5,22.44,18.13,4.31,40.56,1,0,1,0,1,0,6,28,14,42,14,2019-09-15T17:00:00.000Z
1109323,2019,2,New Orleans Saints,Los Angeles Rams,-2,52,3,53.5,27.94,28.82,-0.88,56.76,1,0,0,0,0,0,2,9,27,36,-18,2019-09-15T20:25:00.000Z
1109333,2019,2,Philadelphia Eagles,Atlanta Falcons,1.5,52.5,0,51,25.88,23.29,2.59,49.18,0,0,0,0,1,0,2,20,24,44,-4,2019-09-16T00:20:00.000Z
1109338,2019,2,Cleveland Browns,New York Jets,6.5,45.5,3,46,25.88,19.56,6.31,45.44,1,0,0,0,1,0,4,23,3,26,20,2019-09-17T00:15:00.000Z
1109308,2019,2,Seattle Seahawks,Pittsburgh Steelers,-3.5,47,-3,46.5,22.69,22.38,0.31,45.06,1,0,1,0,0,0,4,28,26,54,2,2019-09-15T17:00:00.000Z
1109313,2019,2,Dallas Cowboys,Washington Redskins,5.5,46.5,-3.5,44,26.65,18,8.65,44.65,1,0,1,0,0,0,4,31,21,52,10,2019-09-15T17:00:00.000Z
1109318,2019,2,Kansas City Chiefs,Oakland Raiders,7,53.5,-6.5,53.5,32.06,20.65,11.41,52.71,1,0,1,0,1,0,6,28,10,38,18,2019-09-15T20:05:00.000Z
1109328,2019,2,Chicago Bears,Denver Broncos,2,40,1.5,40.5,19.59,17.94,1.65,37.53,1,0,0,1,1,0,4,16,14,30,2,2019-09-15T20:25:00.000Z
1109183,2019,1,Green Bay Packers,Chicago Bears,-3,46.5,-3,46,22.5,22.88,-0.37,45.38,0,0,1,0,1,0,4,10,3,13,7,2019-09-06T00:20:00.000Z
1109193,2019,1,Los Angeles Rams,Carolina Panthers,1.5,49.5,3,51,25.47,22.59,2.88,48.06,1,0,1,0,0,0,4,30,27,57,3,2019-09-08T17:00:00.000Z
1109233,2019,1,Detroit Lions,Arizona Cardinals,3,46,2,47,19,20.81,-1.81,39.81,0,1,1,0,0,0,2,27,27,54,0,2019-09-08T20:25:00.000Z
1109238,2019,1,New York Giants,Dallas Cowboys,-7,45.5,-7,46,16.75,24.44,-7.69,41.19,1,0,1,0,0,0,4,17,35,52,-18,2019-09-08T20:25:00.000Z
1109253,2019,1,Houston Texans,New Orleans Saints,-6.5,52,-7,53,21.41,26.65,-5.24,48.06,1,0,1,0,0,0,4,28,30,58,-2,2019-09-09T23:10:00.000Z
1109228,2019,1,Cincinnati Bengals,Seattle Seahawks,-9.5,44.5,-8,43,14.56,25.38,-10.81,39.94,1,0,0,0,1,0,4,20,21,41,-1,2019-09-08T20:05:00.000Z
1109243,2019,1,San Francisco 49ers,Tampa Bay Buccaneers,-1,50.5,-1,49,22.88,21.56,1.31,44.44,1,0,1,0,1,0,6,31,17,48,14,2019-09-08T20:25:00.000Z
1109258,2019,1,Denver Broncos,Oakland Raiders,2.5,42,-2,43,20.53,16.12,4.41,36.65,0,0,0,0,1,0,2,16,24,40,-8,2019-09-10T02:20:00.000Z
1109248,2019,1,Pittsburgh Steelers,New England Patriots,-5.5,49,-6,51,19.88,26.31,-6.44,46.19,1,0,1,0,1,0,6,3,33,36,-30,2019-09-09T00:20:00.000Z
1109218,2019,1,Washington Redskins,Philadelphia Eagles,-10,44.5,-9,46,14.75,26.31,-11.56,41.06,1,0,0,0,0,0,2,27,32,59,-5,2019-09-08T17:00:00.000Z
1109223,2019,1,Indianapolis Colts,Los Angeles Chargers,-6.5,44.5,-3,47,17.44,25.25,-7.81,42.69,1,0,0,0,0,0,2,24,30,54,-6,2019-09-08T20:05:00.000Z
1109198,2019,1,Tennessee Titans,Cleveland Browns,-5.5,45,-5,45,18.56,23,-4.44,41.56,0,0,1,0,0,0,2,43,13,56,30,2019-09-08T17:00:00.000Z
1109213,2019,1,Buffalo Bills,New York Jets,-2.5,41,-3,38,19.75,20.56,-0.81,40.31,0,0,1,0,1,0,4,17,16,33,1,2019-09-08T17:00:00.000Z
1109208,2019,1,Baltimore Ravens,Miami Dolphins,7,40,4,37,21.69,16.06,5.63,37.75,1,0,0,0,0,0,2,59,10,69,49,2019-09-08T17:00:00.000Z
1109203,2019,1,Kansas City Chiefs,Jacksonville Jaguars,3.5,50.5,4,52,28.06,19.18,8.88,47.24,1,0,1,0,0,0,4,40,26,66,14,2019-09-08T17:00:00.000Z
1109188,2019,1,Atlanta Falcons,Minnesota Vikings,-3.5,47,-4,47,23.18,22.53,0.65,45.71,0,0,0,0,1,0,2,12,28,40,-16,2019-09-08T17:00:00.000Z
1109268,2019,2,Minnesota Vikings,Green Bay Packers,-2.5,43,3.5,46,21.12,22.59,-1.47,43.71,1,0,0,0,0,0,2,16,21,37,-5,2019-09-15T17:00:00.000Z
1109288,2019,2,San Francisco 49ers,Cincinnati Bengals,-1,46,2.5,45,20.31,21.44,-1.12,41.75,0,0,0,0,0,0,0,41,17,58,24,2019-09-15T17:00:00.000Z
1109298,2019,2,New England Patriots,Miami Dolphins,18.5,48.5,9.5,48.5,37.19,12.06,25.13,49.25,1,0,1,0,0,0,4,43,0,43,43,2019-09-15T17:00:00.000Z
1109283,2019,2,Arizona Cardinals,Baltimore Ravens,-13,46,9.5,42.5,16.06,28.38,-12.31,44.44,1,0,1,0,1,0,6,17,23,40,-6,2019-09-15T17:00:00.000Z
