gameId,year,season,gameWeek,awayTeam.fullName,homeTeam.fullName,odds.spread,odds.total,odds.history,crowd.awayTeam.score,crowd.homeTeam.score,crowd.spread,crowd.total,crowd.results.winner.correct,crowd.results.winner.push,crowd.results.spread.correct,crowd.results.spread.push,crowd.results.total.correct,crowd.results.total.push,crowd.results.predictionScore,results.awayTeam.score,results.homeTeam.score,results.total,results.spread,startDateTime
1370681,2020,post,1,Los Angeles Rams,Seattle Seahawks,-3,42,"[{""date"":{""$date"":""2021-01-04T19:20:21.970Z""},""spread"":-4,""total"":43,""home_money_line"":-220,""away_money_line"":180},{""date"":{""$date"":""2021-01-05T09:00:05.304Z""},""total"":43,""spread"":-4.5,""away_money_line"":180,""home_money_line"":-220},{""date"":{""$date"":""2021-01-06T09:00:04.956Z""},""total"":42.5,""spread"":-4,""away_money_line"":170,""home_money_line"":-200},{""date"":{""$date"":""2021-01-07T09:00:06.250Z""},""total"":42.5,""spread"":-3.5,""away_money_line"":155,""home_money_line"":-175},{""date"":{""$date"":""2021-01-08T09:00:05.392Z""},""total"":42,""spread"":-3.5,""away_money_line"":155,""home_money_line"":-175},{""date"":{""$date"":""2021-01-09T09:00:04.748Z""},""total"":42,""spread"":-3,""away_money_line"":145,""home_money_line"":-165}]",19.5,24.83,-5.33,44.33,0,0,0,0,1,0,2,30,20,50,10,2021-01-09T21:40:00.000Z
1370676,2020,post,1,Indianapolis Colts,Buffalo Bills,-6.5,51.5,"[{""date"":{""$date"":""2021-01-04T19:20:21.970Z""},""spread"":-6,""total"":52,""home_money_line"":-300,""away_money_line"":250},{""date"":{""$date"":""2021-01-05T09:00:04.445Z""},""total"":52,""spread"":-7,""away_money_line"":250,""home_money_line"":-300},{""date"":{""$date"":""2021-01-06T09:00:04.146Z""},""total"":51,""spread"":-6.5,""away_money_line"":260,""home_money_line"":-310},{""date"":{""$date"":""2021-01-07T09:00:05.439Z""},""total"":51,""spread"":-6.5,""away_money_line"":250,""home_money_line"":-300},{""date"":{""$date"":""2021-01-08T09:00:04.564Z""},""total"":51,""spread"":-6.5,""away_money_line"":250,""home_money_line"":-300},{""date"":{""$date"":""2021-01-09T09:00:03.950Z""},""total"":51.5,""spread"":-6.5,""away_money_line"":250,""home_money_line"":-300}]",21.6,29.6,-8,51.2,1,0,0,0,1,0,4,24,27,51,-3,2021-01-09T18:05:00.000Z
1370701,2020,post,1,Chicago Bears,New Orleans Saints,-10,48,"[{""date"":{""$date"":""2021-01-04T19:20:21.970Z""},""spread"":-9,""total"":48,""home_money_line"":-455,""away_money_line"":354},{""date"":{""$date"":""2021-01-05T09:00:05.725Z""},""total"":48,""spread"":-9.5,""away_money_line"":369,""home_money_line"":-478},{""date"":{""$date"":""2021-01-06T09:00:05.487Z""},""total"":47,""spread"":-10,""away_money_line"":400,""home_money_line"":-500},{""date"":{""$date"":""2021-01-07T09:00:06.763Z""},""total"":47,""spread"":-10,""away_money_line"":400,""home_money_line"":-500},{""date"":{""$date"":""2021-01-08T09:00:05.933Z""},""total"":47,""spread"":-10,""away_money_line"":400,""home_money_line"":-500},{""date"":{""$date"":""2021-01-09T09:00:05.274Z""},""total"":47,""spread"":-10,""away_money_line"":400,""home_money_line"":-500},{""date"":{""$date"":""2021-01-10T09:00:05.526Z""},""total"":48,""spread"":-10,""away_money_line"":400,""home_money_line"":-525}]",19.14,30.57,-11.43,49.71,1,0,1,0,0,0,4,9,21,30,-12,2021-01-10T21:40:00.000Z
1370686,2020,post,1,Baltimore Ravens,Tennessee Titans,3,54.5,"[{""date"":{""$date"":""2021-01-04T19:20:21.970Z""},""spread"":3,""total"":54,""home_money_line"":170,""away_money_line"":-200},{""date"":{""$date"":""2021-01-05T09:00:05.785Z""},""total"":55,""spread"":3.5,""away_money_line"":-190,""home_money_line"":165},{""date"":{""$date"":""2021-01-06T09:00:05.507Z""},""total"":55,""spread"":3,""away_money_line"":-170,""home_money_line"":150},{""date"":{""$date"":""2021-01-07T09:00:06.798Z""},""total"":54.5,""spread"":3.5,""away_money_line"":-175,""home_money_line"":155},{""date"":{""$date"":""2021-01-08T09:00:06.004Z""},""total"":54.5,""spread"":3.5,""away_money_line"":-180,""home_money_line"":160},{""date"":{""$date"":""2021-01-09T09:00:05.310Z""},""total"":54.5,""spread"":3,""away_money_line"":-175,""home_money_line"":155},{""date"":{""$date"":""2021-01-10T09:00:05.407Z""},""total"":54.5,""spread"":3,""away_money_line"":-175,""home_money_line"":155}]",28.71,27.86,0.86,56.57,1,0,0,0,0,0,2,20,13,33,7,2021-01-10T18:05:00.000Z
1370696,2020,post,1,Cleveland Browns,Pittsburgh Steelers,-6,47.5,"[{""date"":{""$date"":""2021-01-04T19:20:21.970Z""},""spread"":-4,""total"":46,""home_money_line"":-220,""away_money_line"":180},{""date"":{""$date"":""2021-01-05T09:00:06.265Z""},""total"":46.5,""spread"":-4.5,""away_money_line"":190,""home_money_line"":-230},{""date"":{""$date"":""2021-01-06T09:00:05.566Z""},""total"":47.5,""spread"":-6,""away_money_line"":225,""home_money_line"":-265},{""date"":{""$date"":""2021-01-07T09:00:07.307Z""},""total"":47.5,""spread"":-6,""away_money_line"":220,""home_money_line"":-260},{""date"":{""$date"":""2021-01-08T09:00:06.007Z""},""total"":47.5,""spread"":-6,""away_money_line"":220,""home_money_line"":-260},{""date"":{""$date"":""2021-01-09T09:00:06.264Z""},""total"":47.5,""spread"":-6,""away_money_line"":230,""home_money_line"":-280},{""date"":{""$date"":""2021-01-10T09:00:06.028Z""},""total"":47.5,""spread"":-6,""away_money_line"":230,""home_money_line"":-280}]",22,25.71,-3.71,47.71,0,0,1,0,1,0,4,48,37,85,11,2021-01-11T01:15:00.000Z
1370706,2020,post,1,Tampa Bay Buccaneers,Washington Football Team,8,44.5,"[{""date"":{""$date"":""2021-01-04T19:20:21.970Z""},""spread"":8,""total"":45,""home_money_line"":340,""away_money_line"":-410},{""date"":{""$date"":""2021-01-05T09:00:05.690Z""},""total"":45.5,""spread"":8.5,""away_money_line"":-420,""home_money_line"":330},{""date"":{""$date"":""2021-01-06T09:00:04.986Z""},""total"":45,""spread"":8.5,""away_money_line"":-430,""home_money_line"":330},{""date"":{""$date"":""2021-01-07T09:00:06.859Z""},""total"":45,""spread"":8.5,""away_money_line"":-425,""home_money_line"":325},{""date"":{""$date"":""2021-01-08T09:00:05.443Z""},""total"":44.5,""spread"":8,""away_money_line"":-400,""home_money_line"":320},{""date"":{""$date"":""2021-01-09T09:00:05.369Z""},""total"":44.5,""spread"":8,""away_money_line"":-400,""home_money_line"":317}]",29.33,18.33,11,47.67,1,0,0,1,1,0,4,31,23,54,8,2021-01-10T01:15:00.000Z
1372811,2020,post,2,Cleveland Browns,Kansas City Chiefs,-10,57,"[{""date"":{""$date"":""2021-01-12T09:00:03.363Z""},""spread"":-10,""total"":56,""home_money_line"":-500,""away_money_line"":400},{""date"":{""$date"":""2021-01-13T09:00:07.961Z""},""total"":56.5,""spread"":-10,""away_money_line"":400,""home_money_line"":-500},{""date"":{""$date"":""2021-01-14T09:00:07.203Z""},""total"":57,""spread"":-10,""away_money_line"":400,""home_money_line"":-500},{""date"":{""$date"":""2021-01-15T09:00:08.036Z""},""total"":57,""spread"":-10,""away_money_line"":400,""home_money_line"":-500},{""date"":{""$date"":""2021-01-16T09:00:07.928Z""},""total"":57,""spread"":-10,""away_money_line"":400,""home_money_line"":-500},{""date"":{""$date"":""2021-01-17T09:00:06.609Z""},""total"":57,""spread"":-10,""away_money_line"":400,""home_money_line"":-500},{""date"":{""$date"":""2021-01-17T09:00:07.429Z""},""total"":57,""spread"":-10,""away_money_line"":400,""home_money_line"":-500}]",25.5,31.17,-5.67,56.67,1,0,1,0,1,0,6,17,22,39,-5,2021-01-17T20:05:00.000Z
1372776,2020,post,2,Los Angeles Rams,Green Bay Packers,-6.5,45.5,"[{""date"":{""$date"":""2021-01-12T09:00:03.363Z""},""spread"":-6,""total"":46,""home_money_line"":-300,""away_money_line"":250},{""date"":{""$date"":""2021-01-13T09:00:07.883Z""},""total"":45.5,""spread"":-6.5,""away_money_line"":260,""home_money_line"":-320},{""date"":{""$date"":""2021-01-14T09:00:06.243Z""},""total"":45.5,""spread"":-6.5,""away_money_line"":250,""home_money_line"":-300},{""date"":{""$date"":""2021-01-15T09:00:08.158Z""},""total"":45.5,""spread"":-6.5,""away_money_line"":260,""home_money_line"":-320},{""date"":{""$date"":""2021-01-16T09:00:05.969Z""},""total"":45.5,""spread"":-6.5,""away_money_line"":260,""home_money_line"":-320}]",19,26,-7,45,1,0,1,0,0,0,4,18,32,50,-14,2021-01-16T21:35:00.000Z
1372781,2020,post,2,Tampa Bay Buccaneers,New Orleans Saints,-3,52,"[{""date"":{""$date"":""2021-01-12T09:00:03.363Z""},""spread"":-3,""total"":52,""home_money_line"":-165,""away_money_line"":145},{""date"":{""$date"":""2021-01-13T09:00:09.561Z""},""total"":52,""spread"":-3,""away_money_line"":145,""home_money_line"":-165},{""date"":{""$date"":""2021-01-14T09:00:07.966Z""},""total"":52,""spread"":-3,""away_money_line"":145,""home_money_line"":-165},{""date"":{""$date"":""2021-01-15T09:00:07.300Z""},""total"":52,""spread"":-3,""away_money_line"":145,""home_money_line"":-165},{""date"":{""$date"":""2021-01-15T09:00:08.912Z""},""total"":52,""spread"":-3,""away_money_line"":145,""home_money_line"":-165},{""date"":{""$date"":""2021-01-16T09:00:07.828Z""},""total"":52,""spread"":-3,""away_money_line"":145,""home_money_line"":-165},{""date"":{""$date"":""2021-01-17T09:00:06.523Z""},""total"":52,""spread"":-3,""away_money_line"":130,""home_money_line"":-150},{""date"":{""$date"":""2021-01-17T09:00:07.374Z""},""total"":52,""spread"":-3,""away_money_line"":130,""home_money_line"":-150}]",23.17,25.83,-2.67,49,0,0,1,0,1,0,4,30,20,50,10,2021-01-17T23:40:00.000Z
1372806,2020,post,2,Baltimore Ravens,Buffalo Bills,-2.5,49.5,"[{""date"":{""$date"":""2021-01-12T09:00:03.363Z""},""spread"":-2,""total"":50,""home_money_line"":-130,""away_money_line"":110},{""date"":{""$date"":""2021-01-13T09:00:07.841Z""},""total"":50,""spread"":-2.5,""away_money_line"":115,""home_money_line"":-135},{""date"":{""$date"":""2021-01-14T09:00:07.160Z""},""total"":50,""spread"":-2.5,""away_money_line"":125,""home_money_line"":-145},{""date"":{""$date"":""2021-01-15T09:00:08.079Z""},""total"":49.5,""spread"":-2.5,""away_money_line"":125,""home_money_line"":-145},{""date"":{""$date"":""2021-01-16T09:00:07.093Z""},""total"":49.5,""spread"":-2.5,""away_money_line"":125,""home_money_line"":-145}]",24,24.67,-0.67,48.67,1,0,0,0,1,0,4,3,17,20,-14,2021-01-17T01:15:00.000Z
