gameId,year,season,gameWeek,awayTeam.fullName,homeTeam.fullName,odds.spread,odds.total,odds.history,crowd.awayTeam.score,crowd.homeTeam.score,crowd.spread,crowd.total,crowd.results.winner.correct,crowd.results.winner.push,crowd.results.spread.correct,crowd.results.spread.push,crowd.results.total.correct,crowd.results.total.push,crowd.results.predictionScore,results.awayTeam.score,results.homeTeam.score,results.total,results.spread,startDateTime
4394810,2021,reg,20153,Dallas Cowboys,Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,2021-08-06T00:00:00.000Z
4407323,2021,reg,8,Tennessee Titans,Indianapolis Colts,,,"[{""date"":{""$date"":""2021-09-13T16:05:52.566Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-13T16:13:08.268Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-14T09:00:18.605Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-14T22:28:00.914Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-15T09:00:18.140Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""}]",,,,,,,,,,,,,,,,2021-10-31T17:00:00.000Z
4407286,2021,reg,5,Detroit Lions,Minnesota Vikings,,,"[{""date"":{""$date"":""2021-09-13T16:05:52.831Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-13T16:13:08.568Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-14T09:00:18.885Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-14T22:28:01.158Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-15T09:00:18.381Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""}]",,,,,,,,,,,,,,,,2021-10-10T17:00:00.000Z
4407463,2021,reg,17,Arizona Cardinals,Dallas Cowboys,,,"[{""date"":{""$date"":""2021-09-13T16:05:53.124Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-13T16:13:08.888Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-14T09:00:19.165Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-14T22:28:01.455Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-15T09:00:18.680Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""}]",,,,,,,,,,,,,,,,2022-01-02T18:00:00.000Z
4407302,2021,reg,6,Arizona Cardinals,Cleveland Browns,,,"[{""date"":{""$date"":""2021-09-13T16:05:53.428Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-13T16:13:09.188Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-14T09:00:19.446Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-14T22:28:01.734Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""},{""date"":{""$date"":""2021-09-15T09:00:18.959Z""},""spread"":"""",""spreadOdds"":"""",""total"":"""",""totalOdds"":""""}]",,,,,,,,,,,,,,,,2021-10-17T20:05:00.000Z
4407014,2021,reg,1,Baltimore Ravens,Las Vegas Raiders,4,50,"[{""date"":{""$date"":""2021-09-13T09:06:42.996Z""},""spread"":4,""spreadOdds"":-104,""total"":50,""totalOdds"":-103},{""date"":{""$date"":""2021-09-13T16:02:04.264Z""},""spread"":4,""spreadOdds"":-106,""total"":50,""totalOdds"":-102},{""date"":{""$date"":""2021-09-13T16:05:53.988Z""},""spread"":4,""spreadOdds"":-106,""total"":50,""totalOdds"":-102},{""date"":{""$date"":""2021-09-13T16:13:09.789Z""},""spread"":4,""spreadOdds"":-106,""total"":50,""totalOdds"":-102}]",27.67,23.17,4.5,50.83,0,0,0,0,1,0,2,27,33,60,-6,2021-09-14T00:15:00.000Z
4407021,2021,reg,1,Philadelphia Eagles,Atlanta Falcons,-3.5,49,"[{""date"":{""$date"":""2021-09-13T09:06:07.427Z""},""spread"":-3.5,""spreadOdds"":-101,""total"":49,""totalOdds"":-108},{""date"":{""$date"":""2021-09-13T16:01:57.414Z""},""spread"":-3.5,""spreadOdds"":-101,""total"":49,""totalOdds"":-108}]",21.83,26.17,-4.33,48,0,0,0,0,1,0,2,32,6,38,26,1970-01-01T00:00:00.000Z
4407020,2021,reg,1,Miami Dolphins,New England Patriots,-3.5,43.5,"[{""date"":{""$date"":""2021-09-13T09:06:04.749Z""},""spread"":-3.5,""spreadOdds"":102,""total"":43.5,""totalOdds"":-114},{""date"":{""$date"":""2021-09-13T16:01:55.914Z""},""spread"":-3.5,""spreadOdds"":102,""total"":43.5,""totalOdds"":-114}]",20.83,23.08,-2.25,43.92,0,0,1,0,0,0,2,17,16,33,1,2021-09-12T20:25:00.000Z
4407019,2021,reg,1,Chicago Bears,L.A. Rams Rams,-9.5,46,"[{""date"":{""$date"":""2021-09-13T09:06:02.695Z""},""spread"":-9.5,""spreadOdds"":-102,""total"":46,""totalOdds"":-107},{""date"":{""$date"":""2021-09-13T16:01:54.464Z""},""spread"":-9.5,""spreadOdds"":-102,""total"":46,""totalOdds"":-107}]",17.33,28.17,-10.83,45.5,1,0,1,0,0,0,4,14,34,48,-20,2021-09-13T00:20:00.000Z
4407018,2021,reg,1,N.Y. Jets Jets,Carolina Panthers,-3.5,44.5,"[{""date"":{""$date"":""2021-09-13T09:06:10.147Z""},""spread"":-3.5,""spreadOdds"":-102,""total"":44.5,""totalOdds"":-107},{""date"":{""$date"":""2021-09-13T16:01:58.916Z""},""spread"":-3.5,""spreadOdds"":-102,""total"":44.5,""totalOdds"":-107}]",18.67,23.25,-4.58,41.92,1,0,1,0,1,0,6,14,19,33,-5,2021-09-12T17:00:00.000Z
