gameId,year,season,gameWeek,awayTeam.fullName,homeTeam.fullName,odds.spread,odds.total,odds.history,crowd.awayTeam.score,crowd.homeTeam.score,crowd.spread,crowd.total,crowd.results.winner.correct,crowd.results.winner.push,crowd.results.spread.correct,crowd.results.spread.push,crowd.results.total.correct,crowd.results.total.push,crowd.results.predictionScore,results.awayTeam.score,results.homeTeam.score,results.total,results.spread,startDateTime
4765634,2025,reg,4,Minnesota Vikings,Pittsburgh Steelers,2.5,41.5,"[{""date"":{""$date"":""2025-09-22T09:00:34.100Z""},""spread"":1.5,""spreadOdds"":-102,""total"":41.5,""totalOdds"":-115,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-22T21:00:34.956Z""},""spread"":3,""spreadOdds"":-119,""total"":41,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:32.804Z""},""spread"":3,""spreadOdds"":-120,""total"":41,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:34.415Z""},""spread"":2.5,""spreadOdds"":-104,""total"":41,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:33.322Z""},""spread"":2.5,""spreadOdds"":-104,""total"":41,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:35.693Z""},""spread"":2.5,""spreadOdds"":-109,""total"":41,""totalOdds"":-112,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:32.922Z""},""spread"":2.5,""spreadOdds"":-109,""total"":41,""totalOdds"":-112,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:34.579Z""},""spread"":2.5,""spreadOdds"":-107,""total"":41,""totalOdds"":-112,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T09:00:32.567Z""},""spread"":2.5,""spreadOdds"":-104,""total"":41,""totalOdds"":-112,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T21:00:34.135Z""},""spread"":2.5,""spreadOdds"":-104,""total"":41.5,""totalOdds"":-119,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T09:00:32.403Z""},""spread"":2.5,""spreadOdds"":-103,""total"":41.5,""totalOdds"":-119,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T21:00:34.349Z""},""spread"":2.5,""spreadOdds"":-110,""total"":41.5,""totalOdds"":-119,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-28T09:00:42.812Z""},""spread"":2.5,""spreadOdds"":-104,""total"":41.5,""totalOdds"":-118,""awayML"":"""",""homeML"":""""}]",21.13,20.27,0.87,41.4,,,,,,,,,,,,2025-09-28T13:30:00.000Z
4765723,2025,reg,4,Seattle Seahawks,Arizona Cardinals,1.5,44,"[{""date"":{""$date"":""2025-09-22T09:00:41.862Z""},""spread"":-1,""spreadOdds"":-109,""total"":44,""totalOdds"":-116,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-22T21:00:39.097Z""},""spread"":-1,""spreadOdds"":-101,""total"":43,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:35.925Z""},""spread"":1,""spreadOdds"":-114,""total"":43,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:37.602Z""},""spread"":1,""spreadOdds"":-108,""total"":43.5,""totalOdds"":-112,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:35.292Z""},""spread"":1,""spreadOdds"":-103,""total"":43,""totalOdds"":-109,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:40.764Z""},""spread"":1,""spreadOdds"":-104,""total"":43,""totalOdds"":-109,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:34.782Z""},""spread"":1,""spreadOdds"":-108,""total"":43,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:36.399Z""},""spread"":1.5,""spreadOdds"":-110,""total"":44,""totalOdds"":-109,""awayML"":"""",""homeML"":""""}]",21.79,20.43,1.36,42.21,1,0,0,0,1,0,4,23,20,43,3,2025-09-26T00:15:00.000Z
4765724,2025,reg,4,New Orleans Saints,Buffalo Bills,-15,48.5,"[{""date"":{""$date"":""2025-09-22T09:00:42.060Z""},""spread"":-16,""spreadOdds"":-110,""total"":47.5,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-22T21:00:39.297Z""},""spread"":-16,""spreadOdds"":-104,""total"":48,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:36.044Z""},""spread"":-16,""spreadOdds"":-104,""total"":48,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:37.773Z""},""spread"":-16,""spreadOdds"":-104,""total"":48,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:35.440Z""},""spread"":-16,""spreadOdds"":-107,""total"":48,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:40.896Z""},""spread"":-15.5,""spreadOdds"":-110,""total"":48,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:34.999Z""},""spread"":-15,""spreadOdds"":-110,""total"":48,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:36.537Z""},""spread"":-15,""spreadOdds"":-109,""total"":48,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T09:00:34.576Z""},""spread"":-15,""spreadOdds"":-109,""total"":48,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T21:00:36.125Z""},""spread"":-15,""spreadOdds"":-109,""total"":48,""totalOdds"":-105,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T09:00:41.351Z""},""spread"":-15,""spreadOdds"":-110,""total"":48,""totalOdds"":-105,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T21:00:41.529Z""},""spread"":-15,""spreadOdds"":-110,""total"":48,""totalOdds"":-105,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-28T09:00:57.833Z""},""spread"":-15,""spreadOdds"":-105,""total"":48.5,""totalOdds"":-109,""awayML"":"""",""homeML"":""""}]",14.56,32.44,-17.88,47,,,,,,,,,,,,2025-09-28T17:00:00.000Z
4765725,2025,reg,4,Tennessee Titans,Houston Texans,-7,39,"[{""date"":{""$date"":""2025-09-22T09:00:42.241Z""},""spread"":-7,""spreadOdds"":-103,""total"":39.5,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-22T21:00:39.573Z""},""spread"":-7,""spreadOdds"":-110,""total"":39.5,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:36.785Z""},""spread"":-7,""spreadOdds"":-110,""total"":39.5,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:37.896Z""},""spread"":-7,""spreadOdds"":-110,""total"":39.5,""totalOdds"":-129,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:35.579Z""},""spread"":-7,""spreadOdds"":-110,""total"":38.5,""totalOdds"":-115,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:41.555Z""},""spread"":-7,""spreadOdds"":-110,""total"":38.5,""totalOdds"":-115,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:35.159Z""},""spread"":-7,""spreadOdds"":-111,""total"":38.5,""totalOdds"":-115,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:36.657Z""},""spread"":-7,""spreadOdds"":-109,""total"":38.5,""totalOdds"":-107,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T09:00:34.724Z""},""spread"":-7,""spreadOdds"":-111,""total"":38.5,""totalOdds"":-107,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T21:00:36.276Z""},""spread"":-7,""spreadOdds"":-115,""total"":38.5,""totalOdds"":100,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T09:00:41.503Z""},""spread"":-7,""spreadOdds"":-113,""total"":39.5,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T21:00:41.649Z""},""spread"":-7,""spreadOdds"":-113,""total"":39.5,""totalOdds"":-114,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-28T09:00:58.813Z""},""spread"":-7,""spreadOdds"":-116,""total"":39,""totalOdds"":-111,""awayML"":"""",""homeML"":""""}]",15.58,22.16,-6.58,37.74,,,,,,,,,,,,2025-09-28T17:00:00.000Z
4765726,2025,reg,4,Cleveland Browns,Detroit Lions,-10.5,44.5,"[{""date"":{""$date"":""2025-09-22T09:00:42.402Z""},""spread"":-1,""spreadOdds"":-108,""total"":45,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-22T21:00:39.794Z""},""spread"":-1,""spreadOdds"":-108,""total"":45,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:36.924Z""},""spread"":-1,""spreadOdds"":-108,""total"":45,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:38.074Z""},""spread"":-9.5,""spreadOdds"":-110,""total"":44,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:35.682Z""},""spread"":-9.5,""spreadOdds"":-110,""total"":44,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:41.694Z""},""spread"":-10,""spreadOdds"":-107,""total"":44,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:35.281Z""},""spread"":-10,""spreadOdds"":-108,""total"":44,""totalOdds"":102,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:36.797Z""},""spread"":-10,""spreadOdds"":-110,""total"":44,""totalOdds"":102,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T09:00:34.845Z""},""spread"":-10,""spreadOdds"":-111,""total"":44,""totalOdds"":102,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T21:00:36.434Z""},""spread"":-10,""spreadOdds"":-115,""total"":44.5,""totalOdds"":-105,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T09:00:42.243Z""},""spread"":-10,""spreadOdds"":-115,""total"":44.5,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T21:00:42.407Z""},""spread"":-10,""spreadOdds"":-115,""total"":44.5,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-28T09:00:59.813Z""},""spread"":-10.5,""spreadOdds"":-103,""total"":44.5,""totalOdds"":-110,""awayML"":"""",""homeML"":""""}]",15.63,28,-12.38,43.63,,,,,,,,,,,,2025-09-28T17:00:00.000Z
4765727,2025,reg,4,Washington Commanders,Atlanta Falcons,-2,43,"[{""date"":{""$date"":""2025-09-22T21:00:39.994Z""},""spread"":2.5,""spreadOdds"":-109,""total"":45.5,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:37.007Z""},""spread"":2.5,""spreadOdds"":-109,""total"":45.5,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:38.213Z""},""spread"":1,""spreadOdds"":-115,""total"":45.5,""totalOdds"":-116,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:35.821Z""},""spread"":1,""spreadOdds"":-119,""total"":45.5,""totalOdds"":-116,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:41.834Z""},""spread"":-1,""spreadOdds"":-103,""total"":45.5,""totalOdds"":-116,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:35.420Z""},""spread"":-1,""spreadOdds"":100,""total"":45.5,""totalOdds"":-116,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:36.937Z""},""spread"":-1,""spreadOdds"":-102,""total"":45.5,""totalOdds"":-116,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T09:00:34.985Z""},""spread"":-1,""spreadOdds"":-105,""total"":45.5,""totalOdds"":-116,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T21:00:36.557Z""},""spread"":-2.5,""spreadOdds"":-104,""total"":44,""totalOdds"":-111,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T09:00:42.382Z""},""spread"":-2.5,""spreadOdds"":-103,""total"":44,""totalOdds"":-111,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T21:00:42.530Z""},""spread"":-2,""spreadOdds"":-112,""total"":43,""totalOdds"":-103,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-28T09:01:00.831Z""},""spread"":-2,""spreadOdds"":-120,""total"":43,""totalOdds"":-102,""awayML"":"""",""homeML"":""""}]",24.81,21.88,2.94,46.69,,,,,,,,,,,,2025-09-28T17:00:00.000Z
4765728,2025,reg,4,Philadelphia Eagles,Tampa Bay Buccaneers,3,44.5,"[{""date"":{""$date"":""2025-09-22T09:00:42.899Z""},""spread"":3,""spreadOdds"":-104,""total"":45.5,""totalOdds"":-109,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-22T21:00:40.175Z""},""spread"":3.5,""spreadOdds"":-112,""total"":43.5,""totalOdds"":-111,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:37.166Z""},""spread"":3,""spreadOdds"":100,""total"":43.5,""totalOdds"":-111,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:38.453Z""},""spread"":3.5,""spreadOdds"":-114,""total"":43.5,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:35.960Z""},""spread"":3.5,""spreadOdds"":-107,""total"":43.5,""totalOdds"":-106,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:41.994Z""},""spread"":3.5,""spreadOdds"":-112,""total"":44,""totalOdds"":-112,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:35.580Z""},""spread"":3.5,""spreadOdds"":-112,""total"":44,""totalOdds"":-112,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:37.058Z""},""spread"":3.5,""spreadOdds"":-112,""total"":44,""totalOdds"":-112,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T09:00:35.105Z""},""spread"":3.5,""spreadOdds"":-112,""total"":44,""totalOdds"":-102,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T21:00:36.695Z""},""spread"":3.5,""spreadOdds"":-110,""total"":44,""totalOdds"":-107,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T09:00:42.523Z""},""spread"":3.5,""spreadOdds"":-110,""total"":44,""totalOdds"":-107,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T21:00:43.370Z""},""spread"":3,""spreadOdds"":104,""total"":44,""totalOdds"":-107,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-28T09:01:01.793Z""},""spread"":3,""spreadOdds"":106,""total"":44.5,""totalOdds"":-118,""awayML"":"""",""homeML"":""""}]",25.6,24.33,1.27,49.93,,,,,,,,,,,,2025-09-28T17:00:00.000Z
4765729,2025,reg,4,Carolina Panthers,New England Patriots,-5,43,"[{""date"":{""$date"":""2025-09-22T09:00:43.080Z""},""spread"":-5,""spreadOdds"":-108,""total"":44,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-22T21:00:40.356Z""},""spread"":-5.5,""spreadOdds"":-112,""total"":43.5,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:37.766Z""},""spread"":-5.5,""spreadOdds"":-110,""total"":43.5,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:38.593Z""},""spread"":-5.5,""spreadOdds"":-116,""total"":43.5,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:36.100Z""},""spread"":-5.5,""spreadOdds"":-109,""total"":43.5,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:42.556Z""},""spread"":-5,""spreadOdds"":-114,""total"":43.5,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:35.720Z""},""spread"":-5,""spreadOdds"":-117,""total"":43.5,""totalOdds"":-114,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:37.159Z""},""spread"":-5,""spreadOdds"":-110,""total"":43,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T09:00:35.245Z""},""spread"":-5,""spreadOdds"":-114,""total"":43,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T21:00:36.817Z""},""spread"":-5,""spreadOdds"":-117,""total"":43,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T09:00:43.264Z""},""spread"":-5,""spreadOdds"":-118,""total"":43,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T21:00:43.668Z""},""spread"":-5,""spreadOdds"":-118,""total"":43.5,""totalOdds"":-104,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-28T09:01:02.850Z""},""spread"":-5,""spreadOdds"":-114,""total"":43,""totalOdds"":-104,""awayML"":"""",""homeML"":""""}]",20.25,24.5,-4.25,44.75,,,,,,,,,,,,2025-09-28T17:00:00.000Z
4765730,2025,reg,4,L.A. Chargers Chargers,N.Y. Giants Giants,6.5,43,"[{""date"":{""$date"":""2025-09-22T21:00:40.536Z""},""spread"":6,""spreadOdds"":-110,""total"":44,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:37.906Z""},""spread"":6,""spreadOdds"":-110,""total"":44,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:38.752Z""},""spread"":6.5,""spreadOdds"":-115,""total"":44,""totalOdds"":-109,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:36.239Z""},""spread"":6.5,""spreadOdds"":-113,""total"":44,""totalOdds"":-111,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:42.676Z""},""spread"":6,""spreadOdds"":-108,""total"":44,""totalOdds"":-111,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:35.860Z""},""spread"":6,""spreadOdds"":-107,""total"":44,""totalOdds"":-111,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:37.316Z""},""spread"":6,""spreadOdds"":-108,""total"":43.5,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T09:00:35.365Z""},""spread"":6,""spreadOdds"":-107,""total"":43.5,""totalOdds"":-109,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T21:00:36.955Z""},""spread"":6,""spreadOdds"":-109,""total"":43.5,""totalOdds"":-110,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T09:00:43.383Z""},""spread"":6,""spreadOdds"":-107,""total"":43.5,""totalOdds"":-115,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T21:00:44.349Z""},""spread"":6,""spreadOdds"":-109,""total"":43.5,""totalOdds"":-115,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-28T09:01:03.812Z""},""spread"":6.5,""spreadOdds"":-115,""total"":43,""totalOdds"":-104,""awayML"":"""",""homeML"":""""}]",26.33,17.2,9.13,43.53,,,,,,,,,,,,2025-09-28T17:00:00.000Z
4765731,2025,reg,4,Jacksonville Jaguars,San Francisco 49ers,-3,46,"[{""date"":{""$date"":""2025-09-22T09:00:43.459Z""},""spread"":-3.5,""spreadOdds"":-108,""total"":45.5,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-22T21:00:40.716Z""},""spread"":-3,""spreadOdds"":-116,""total"":46,""totalOdds"":-108,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T09:00:38.065Z""},""spread"":-3,""spreadOdds"":-118,""total"":47,""totalOdds"":-102,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-23T21:00:38.855Z""},""spread"":-3,""spreadOdds"":-118,""total"":47,""totalOdds"":-102,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T09:00:36.342Z""},""spread"":-3,""spreadOdds"":-110,""total"":47,""totalOdds"":-102,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-24T21:00:42.795Z""},""spread"":-3,""spreadOdds"":-117,""total"":47,""totalOdds"":-107,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T09:00:36.000Z""},""spread"":-3,""spreadOdds"":-119,""total"":47,""totalOdds"":-107,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-25T21:00:37.469Z""},""spread"":-3,""spreadOdds"":-113,""total"":47,""totalOdds"":-113,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T09:00:35.505Z""},""spread"":-3,""spreadOdds"":-115,""total"":47,""totalOdds"":-116,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-26T21:00:37.058Z""},""spread"":-3,""spreadOdds"":-110,""total"":46,""totalOdds"":-115,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T09:00:43.503Z""},""spread"":-3,""spreadOdds"":-123,""total"":46,""totalOdds"":-109,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-27T21:00:44.507Z""},""spread"":-3,""spreadOdds"":-125,""total"":46,""totalOdds"":-109,""awayML"":"""",""homeML"":""""},{""date"":{""$date"":""2025-09-28T09:01:04.871Z""},""spread"":-3,""spreadOdds"":-121,""total"":46,""totalOdds"":-109,""awayML"":"""",""homeML"":""""}]",19.47,23.89,-4.42,43.37,,,,,,,,,,,,2025-09-28T20:05:00.000Z
