,,,,,current,current,current,21-Apr,21-Apr,21-Apr,25-Apr,25-Apr,25-Apr,27-Apr,27-Apr,27-Apr,28-Apr,28-Apr,28-Apr,4-May,4-May,4-May,9-May,9-May,9-May,11-May,11-May,11-May,||,4/21|,|,|,4/25|,|,|,4/27|,|,|,4/28|,|,|,5/4|,|,|,5/9|,|,|,5/11|,|,|,||4/21|||4/25|||4/27|||4/28|||5/4|||5/9|||5/11||
code,fullName,year,season,sport,wins,overOdds,underOdds,wins,overOdds,underOdds,wins,overOdds,underOdds,wins,overOdds,underOdds,wins,overOdds,underOdds,wins,overOdds,underOdds,wins,overOdds,underOdds,wins,overOdds,underOdds,|Team|,Wins|,Over|,Under|,Wins|,Over|,Under|,Wins|,Over|,Under|,Wins|,Over|,Under|,Wins|,Over|,Under|,Wins|,Over|,Under|,Wins|,Over|,Under|,|Team|Wins|Over|Under|Wins|Over|Under|Wins|Over|Under|Wins|Over|Under|Wins|Over|Under|Wins|Over|Under|Wins|Over|Under|
ARI,Arizona Cardinals,2023,reg,nfl,4.5,-130,110,5.5,110,-130,5.5,110,-130,5.5,110,-130,5.5,110,-130,4.5,-110,-110,4.5,-110,-110,4.5,-130,110,|Arizona Cardinals|,5.5|,110|,-130|,5.5|,110|,-130|,5.5|,110|,-130|,5.5|,110|,-130|,4.5|,-110|,-110|,4.5|,-110|,-110|,4.5|,-130|,110|,|Arizona Cardinals|5.5|110|-130|5.5|110|-130|5.5|110|-130|5.5|110|-130|4.5|-110|-110|4.5|-110|-110|4.5|-130|110|
ATL,Atlanta Falcons,2023,reg,nfl,8.5,110,-130,8.5,110,-130,8.5,110,-130,8.5,110,-130,8.5,110,-130,8.5,110,-130,8.5,110,-130,8.5,110,-130,|Atlanta Falcons|,8.5|,110|,-130|,8.5|,110|,-130|,8.5|,110|,-130|,8.5|,110|,-130|,8.5|,110|,-130|,8.5|,110|,-130|,8.5|,110|,-130|,|Atlanta Falcons|8.5|110|-130|8.5|110|-130|8.5|110|-130|8.5|110|-130|8.5|110|-130|8.5|110|-130|8.5|110|-130|
BAL,Baltimore Ravens,2023,reg,nfl,9.5,-120,100,9.5,-110,-110,9.5,-110,-110,9.5,-120,100,9.5,-120,100,9.5,-120,100,9.5,-120,100,9.5,-120,100,|Baltimore Ravens|,9.5|,-110|,-110|,9.5|,-110|,-110|,9.5|,-120|,100|,9.5|,-120|,100|,9.5|,-120|,100|,9.5|,-120|,100|,9.5|,-120|,100|,|Baltimore Ravens|9.5|-110|-110|9.5|-110|-110|9.5|-120|100|9.5|-120|100|9.5|-120|100|9.5|-120|100|9.5|-120|100|
BUF,Buffalo Bills,2023,reg,nfl,10.5,-140,120,10.5,-140,115,10.5,-140,115,10.5,-140,115,10.5,-140,115,10.5,-140,120,10.5,-140,120,10.5,-140,120,|Buffalo Bills|,10.5|,-140|,115|,10.5|,-140|,115|,10.5|,-140|,115|,10.5|,-140|,115|,10.5|,-140|,120|,10.5|,-140|,120|,10.5|,-140|,120|,|Buffalo Bills|10.5|-140|115|10.5|-140|115|10.5|-140|115|10.5|-140|115|10.5|-140|120|10.5|-140|120|10.5|-140|120|
CAR,Carolina Panthers,2023,reg,nfl,7.5,-135,115,7.5,-120,100,7.5,-120,100,7.5,-120,100,7.5,-120,100,7.5,-135,110,7.5,-135,115,7.5,-135,115,|Carolina Panthers|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-135|,110|,7.5|,-135|,115|,7.5|,-135|,115|,|Carolina Panthers|7.5|-120|100|7.5|-120|100|7.5|-120|100|7.5|-120|100|7.5|-135|110|7.5|-135|115|7.5|-135|115|
CHI,Chicago Bears,2023,reg,nfl,7.5,-135,115,7.5,-120,100,7.5,-120,100,7.5,-120,100,7.5,-120,100,7.5,-135,110,7.5,-135,115,7.5,-135,115,|Chicago Bears|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-120|,100|,7.5|,-135|,110|,7.5|,-135|,115|,7.5|,-135|,115|,|Chicago Bears|7.5|-120|100|7.5|-120|100|7.5|-120|100|7.5|-120|100|7.5|-135|110|7.5|-135|115|7.5|-135|115|
CIN,Cincinnati Bengals,2023,reg,nfl,11.5,110,-130,11.5,-105,-115,11.5,-105,-115,11.5,-105,-115,11.5,-105,-115,11.5,100,-120,11.5,100,-120,11.5,110,-130,|Cincinnati Bengals|,11.5|,-105|,-115|,11.5|,-105|,-115|,11.5|,-105|,-115|,11.5|,-105|,-115|,11.5|,100|,-120|,11.5|,100|,-120|,11.5|,110|,-130|,|Cincinnati Bengals|11.5|-105|-115|11.5|-105|-115|11.5|-105|-115|11.5|-105|-115|11.5|100|-120|11.5|100|-120|11.5|110|-130|
CLE,Cleveland Browns,2023,reg,nfl,9.5,130,-150,9.5,115,-140,9.5,115,-140,9.5,115,-140,9.5,115,-140,9.5,130,-150,9.5,130,-150,9.5,130,-150,|Cleveland Browns|,9.5|,115|,-140|,9.5|,115|,-140|,9.5|,115|,-140|,9.5|,115|,-140|,9.5|,130|,-150|,9.5|,130|,-150|,9.5|,130|,-150|,|Cleveland Browns|9.5|115|-140|9.5|115|-140|9.5|115|-140|9.5|115|-140|9.5|130|-150|9.5|130|-150|9.5|130|-150|
DAL,Dallas Cowboys,2023,reg,nfl,9.5,-130,110,9.5,-130,110,9.5,-130,110,9.5,-130,110,9.5,-130,110,9.5,-130,110,9.5,-130,110,9.5,-130,110,|Dallas Cowboys|,9.5|,-130|,110|,9.5|,-130|,110|,9.5|,-130|,110|,9.5|,-130|,110|,9.5|,-130|,110|,9.5|,-130|,110|,9.5|,-130|,110|,|Dallas Cowboys|9.5|-130|110|9.5|-130|110|9.5|-130|110|9.5|-130|110|9.5|-130|110|9.5|-130|110|9.5|-130|110|
DEN,Denver Broncos,2023,reg,nfl,8.5,-110,-110,8.5,-110,-110,8.5,-110,-110,8.5,-110,-110,8.5,-110,-110,8.5,-110,-110,8.5,-110,-110,8.5,-110,-110,|Denver Broncos|,8.5|,-110|,-110|,8.5|,-110|,-110|,8.5|,-110|,-110|,8.5|,-110|,-110|,8.5|,-110|,-110|,8.5|,-110|,-110|,8.5|,-110|,-110|,|Denver Broncos|8.5|-110|-110|8.5|-110|-110|8.5|-110|-110|8.5|-110|-110|8.5|-110|-110|8.5|-110|-110|8.5|-110|-110|
DET,Detroit Lions,2023,reg,nfl,9.5,-150,130,9.5,-150,120,9.5,-150,120,9.5,-150,120,9.5,-150,120,9.5,-150,130,9.5,-150,130,9.5,-150,130,|Detroit Lions|,9.5|,-150|,120|,9.5|,-150|,120|,9.5|,-150|,120|,9.5|,-150|,120|,9.5|,-150|,130|,9.5|,-150|,130|,9.5|,-150|,130|,|Detroit Lions|9.5|-150|120|9.5|-150|120|9.5|-150|120|9.5|-150|120|9.5|-150|130|9.5|-150|130|9.5|-150|130|
