code,fullName,year,season,sport,wins,overOdds,underOdds,history
ARI,Arizona Cardinals,2023,reg,nfl,4.5,-130,110,"[{""date"":{""$date"":""2023-04-21T10:17:31.284Z""},""wins"":5.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-21T10:18:50.197Z""},""wins"":5.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-25T14:32:02.752Z""},""wins"":5.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-27T14:19:03.195Z""},""wins"":5.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-28T11:50:24.352Z""},""wins"":5.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-05-04T09:29:29.195Z""},""wins"":4.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-05-09T11:43:15.316Z""},""wins"":4.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-05-11T18:59:46.932Z""},""wins"":4.5,""overOdds"":-130,""underOdds"":110}]"
ATL,Atlanta Falcons,2023,reg,nfl,8.5,110,-130,"[{""date"":{""$date"":""2023-04-21T10:17:28.158Z""},""wins"":8.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-21T10:18:44.129Z""},""wins"":8.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-25T14:32:02.978Z""},""wins"":8.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-27T14:19:03.514Z""},""wins"":8.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-28T11:50:24.997Z""},""wins"":8.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-05-04T09:29:29.476Z""},""wins"":8.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-05-09T11:43:15.602Z""},""wins"":8.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-05-11T18:59:47.227Z""},""wins"":8.5,""overOdds"":110,""underOdds"":-130}]"
BAL,Baltimore Ravens,2023,reg,nfl,9.5,-120,100,"[{""date"":{""$date"":""2023-04-21T10:17:36.428Z""},""wins"":9.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-21T10:18:51.459Z""},""wins"":9.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-25T14:32:03.201Z""},""wins"":9.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-27T14:19:03.769Z""},""wins"":9.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-28T11:50:25.549Z""},""wins"":9.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-05-04T09:29:29.751Z""},""wins"":9.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-05-09T11:43:15.911Z""},""wins"":9.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-05-11T18:59:47.510Z""},""wins"":9.5,""overOdds"":-120,""underOdds"":100}]"
BUF,Buffalo Bills,2023,reg,nfl,10.5,-140,120,"[{""date"":{""$date"":""2023-04-21T10:17:32.217Z""},""wins"":10.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-04-21T10:18:51.140Z""},""wins"":10.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-04-25T14:32:03.423Z""},""wins"":10.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-04-27T14:19:04.319Z""},""wins"":10.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-04-28T11:50:26.096Z""},""wins"":10.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-05-04T09:29:30.019Z""},""wins"":10.5,""overOdds"":-140,""underOdds"":120},{""date"":{""$date"":""2023-05-09T11:43:16.165Z""},""wins"":10.5,""overOdds"":-140,""underOdds"":120},{""date"":{""$date"":""2023-05-11T18:59:47.824Z""},""wins"":10.5,""overOdds"":-140,""underOdds"":120}]"
CAR,Carolina Panthers,2023,reg,nfl,7.5,-135,115,"[{""date"":{""$date"":""2023-04-21T10:17:33.472Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-21T10:18:49.890Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-25T14:32:03.676Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-27T14:19:04.646Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-28T11:50:26.642Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-05-04T09:29:30.283Z""},""wins"":7.5,""overOdds"":-135,""underOdds"":110},{""date"":{""$date"":""2023-05-09T11:43:16.401Z""},""wins"":7.5,""overOdds"":-135,""underOdds"":115},{""date"":{""$date"":""2023-05-11T18:59:48.110Z""},""wins"":7.5,""overOdds"":-135,""underOdds"":115}]"
CHI,Chicago Bears,2023,reg,nfl,7.5,-135,115,"[{""date"":{""$date"":""2023-04-21T10:17:35.490Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-21T10:18:46.039Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-25T14:32:03.904Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-27T14:19:04.981Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-28T11:50:27.186Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-05-04T09:29:30.552Z""},""wins"":7.5,""overOdds"":-135,""underOdds"":110},{""date"":{""$date"":""2023-05-09T11:43:16.745Z""},""wins"":7.5,""overOdds"":-135,""underOdds"":115},{""date"":{""$date"":""2023-05-11T18:59:48.391Z""},""wins"":7.5,""overOdds"":-135,""underOdds"":115}]"
CIN,Cincinnati Bengals,2023,reg,nfl,11.5,110,-130,"[{""date"":{""$date"":""2023-04-21T10:17:29.552Z""},""wins"":11.5,""overOdds"":-105,""underOdds"":-115},{""date"":{""$date"":""2023-04-21T10:18:50.827Z""},""wins"":11.5,""overOdds"":-105,""underOdds"":-115},{""date"":{""$date"":""2023-04-25T14:32:04.153Z""},""wins"":11.5,""overOdds"":-105,""underOdds"":-115},{""date"":{""$date"":""2023-04-27T14:19:05.295Z""},""wins"":11.5,""overOdds"":-105,""underOdds"":-115},{""date"":{""$date"":""2023-04-28T11:50:27.731Z""},""wins"":11.5,""overOdds"":-105,""underOdds"":-115},{""date"":{""$date"":""2023-05-04T09:29:30.823Z""},""wins"":11.5,""overOdds"":100,""underOdds"":-120},{""date"":{""$date"":""2023-05-09T11:43:16.989Z""},""wins"":11.5,""overOdds"":100,""underOdds"":-120},{""date"":{""$date"":""2023-05-11T18:59:48.745Z""},""wins"":11.5,""overOdds"":110,""underOdds"":-130}]"
CLE,Cleveland Browns,2023,reg,nfl,9.5,130,-150,"[{""date"":{""$date"":""2023-04-21T10:17:30.254Z""},""wins"":9.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-04-21T10:18:48.268Z""},""wins"":9.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-04-25T14:32:04.391Z""},""wins"":9.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-04-27T14:19:05.531Z""},""wins"":9.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-04-28T11:50:28.167Z""},""wins"":9.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-05-04T09:29:31.107Z""},""wins"":9.5,""overOdds"":130,""underOdds"":-150},{""date"":{""$date"":""2023-05-09T11:43:17.218Z""},""wins"":9.5,""overOdds"":130,""underOdds"":-150},{""date"":{""$date"":""2023-05-11T18:59:49.029Z""},""wins"":9.5,""overOdds"":130,""underOdds"":-150}]"
DAL,Dallas Cowboys,2023,reg,nfl,9.5,-130,110,"[{""date"":{""$date"":""2023-04-21T10:17:27.092Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-04-21T10:18:43.124Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-04-25T14:32:04.605Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-04-27T14:19:05.752Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-04-28T11:50:28.406Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-05-04T09:29:31.379Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-05-09T11:43:17.685Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-05-11T18:59:49.347Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110}]"
DEN,Denver Broncos,2023,reg,nfl,8.5,-110,-110,"[{""date"":{""$date"":""2023-04-21T10:17:32.524Z""},""wins"":8.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-21T10:18:47.632Z""},""wins"":8.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-25T14:32:04.830Z""},""wins"":8.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-27T14:19:05.993Z""},""wins"":8.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-28T11:50:28.634Z""},""wins"":8.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-05-04T09:29:31.674Z""},""wins"":8.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-05-09T11:43:17.921Z""},""wins"":8.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-05-11T18:59:49.615Z""},""wins"":8.5,""overOdds"":-110,""underOdds"":-110}]"
DET,Detroit Lions,2023,reg,nfl,9.5,-150,130,"[{""date"":{""$date"":""2023-04-21T10:17:27.442Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-21T10:18:43.494Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-25T14:32:05.052Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-27T14:19:06.211Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-28T11:50:28.861Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-05-04T09:29:32.254Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":130},{""date"":{""$date"":""2023-05-09T11:43:18.156Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":130},{""date"":{""$date"":""2023-05-11T18:59:49.937Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":130}]"
