gameId,year,season,gameWeek,awayTeam.code,awayTeam.fullName,homeTeam.code,homeTeam.fullName,odds.spread,odds.total,odds.history,crowd.awayTeam.score,crowd.homeTeam.score,crowd.spread,crowd.total,crowd.results.winner.correct,crowd.results.winner.push,crowd.results.spread.correct,crowd.results.spread.push,crowd.results.total.correct,crowd.results.total.push,crowd.results.predictionScore,results.awayTeam.score,results.homeTeam.score,results.total,results.spread,startDateTime
4733357,2024,reg,14,GB,Green Bay Packers,DET,Detroit Lions,-3.5,51.5,"[{""date"":{""$date"":""2024-12-03T21:00:33.367Z""},""spread"":-3.5,""spreadOdds"":106,""total"":51.5,""totalOdds"":-113,""awayML"":{""decimal"":2.55,""american"":155},""homeML"":{""decimal"":1.565,""american"":-177}},{""date"":{""$date"":""2024-12-04T09:00:32.585Z""},""spread"":-3.5,""spreadOdds"":107,""total"":51.5,""totalOdds"":-110,""awayML"":{""decimal"":2.55,""american"":155},""homeML"":{""decimal"":1.5682,""american"":-176}},{""date"":{""$date"":""2024-12-04T21:00:32.930Z""},""spread"":-3.5,""spreadOdds"":105,""total"":51.5,""totalOdds"":-109,""awayML"":{""decimal"":2.58,""american"":158},""homeML"":{""decimal"":1.5556,""american"":-180}},{""date"":{""$date"":""2024-12-05T09:00:32.303Z""},""spread"":-3.5,""spreadOdds"":-101,""total"":51.5,""totalOdds"":-103,""awayML"":{""decimal"":2.63,""american"":163},""homeML"":{""decimal"":1.5348,""american"":-187}},{""date"":{""$date"":""2024-12-05T21:00:32.802Z""},""spread"":-3.5,""spreadOdds"":108,""total"":51.5,""totalOdds"":-101,""awayML"":{""decimal"":2.54,""american"":154},""homeML"":{""decimal"":1.5814,""american"":-172}}]",25.13,29.06,-3.94,54.19,1,0,0,0,1,0,4,31,34,65,-3,2024-12-06T01:15:00.000Z
4733358,2024,reg,14,ATL,Atlanta Falcons,MIN,Minnesota Vikings,-6.5,46,"[{""date"":{""$date"":""2024-12-03T21:00:33.545Z""},""spread"":-4.5,""spreadOdds"":-127,""total"":46,""totalOdds"":-116,""awayML"":{""decimal"":3.15,""american"":215},""homeML"":{""decimal"":1.3968,""american"":-252}},{""date"":{""$date"":""2024-12-04T09:00:32.774Z""},""spread"":-4.5,""spreadOdds"":-124,""total"":46,""totalOdds"":-116,""awayML"":{""decimal"":3.12,""american"":212},""homeML"":{""decimal"":1.4016,""american"":-249}},{""date"":{""$date"":""2024-12-04T21:00:33.059Z""},""spread"":-5.5,""spreadOdds"":-111,""total"":46,""totalOdds"":-115,""awayML"":{""decimal"":3.13,""american"":213},""homeML"":{""decimal"":1.4,""american"":-250}},{""date"":{""$date"":""2024-12-05T09:00:32.444Z""},""spread"":-5.5,""spreadOdds"":-115,""total"":46,""totalOdds"":-107,""awayML"":{""decimal"":3.18,""american"":218},""homeML"":{""decimal"":1.3906,""american"":-256}},{""date"":{""$date"":""2024-12-05T21:00:32.963Z""},""spread"":-5.5,""spreadOdds"":-114,""total"":46,""totalOdds"":-110,""awayML"":{""decimal"":3.18,""american"":218},""homeML"":{""decimal"":1.3906,""american"":-256}},{""date"":{""$date"":""2024-12-06T09:00:32.620Z""},""spread"":-5.5,""spreadOdds"":-113,""total"":46,""totalOdds"":-110,""awayML"":{""decimal"":3.16,""american"":216},""homeML"":{""decimal"":1.3937,""american"":-254}},{""date"":{""$date"":""2024-12-06T21:00:33.229Z""},""spread"":-5.5,""spreadOdds"":-115,""total"":46,""totalOdds"":-117,""awayML"":{""decimal"":3.2,""american"":220},""homeML"":{""decimal"":1.3876,""american"":-258}},{""date"":{""$date"":""2024-12-07T09:00:32.221Z""},""spread"":-6,""spreadOdds"":-104,""total"":46,""totalOdds"":-114,""awayML"":{""decimal"":3.2,""american"":220},""homeML"":{""decimal"":1.3876,""american"":-258}},{""date"":{""$date"":""2024-12-07T21:00:32.771Z""},""spread"":-6.5,""spreadOdds"":-101,""total"":46,""totalOdds"":-118,""awayML"":{""decimal"":3.31,""american"":231},""homeML"":{""decimal"":1.365,""american"":-274}},{""date"":{""$date"":""2024-12-08T09:00:32.229Z""},""spread"":-6.5,""spreadOdds"":101,""total"":46,""totalOdds"":-118,""awayML"":{""decimal"":3.27,""american"":227},""homeML"":{""decimal"":1.3731,""american"":-268}}]",20.06,26.38,-6.31,46.44,1,0,0,0,1,0,4,21,42,63,-21,2024-12-08T18:00:00.000Z
4733359,2024,reg,14,NO,New Orleans Saints,NYG,N.Y. Giants Giants,4.5,41,"[{""date"":{""$date"":""2024-12-03T21:00:33.706Z""},""spread"":5,""spreadOdds"":-105,""total"":41,""totalOdds"":-110,""awayML"":{""decimal"":1.4348,""american"":-230},""homeML"":{""decimal"":2.98,""american"":198}},{""date"":{""$date"":""2024-12-04T09:00:32.934Z""},""spread"":5,""spreadOdds"":-105,""total"":41,""totalOdds"":-117,""awayML"":{""decimal"":1.4348,""american"":-230},""homeML"":{""decimal"":2.97,""american"":197}},{""date"":{""$date"":""2024-12-04T21:00:33.180Z""},""spread"":5,""spreadOdds"":-108,""total"":41,""totalOdds"":-107,""awayML"":{""decimal"":1.4444,""american"":-225},""homeML"":{""decimal"":2.94,""american"":194}},{""date"":{""$date"":""2024-12-05T09:00:32.564Z""},""spread"":5,""spreadOdds"":-118,""total"":41,""totalOdds"":-107,""awayML"":{""decimal"":1.4739,""american"":-211},""homeML"":{""decimal"":2.83,""american"":183}},{""date"":{""$date"":""2024-12-05T21:00:33.103Z""},""spread"":4.5,""spreadOdds"":-110,""total"":41,""totalOdds"":-107,""awayML"":{""decimal"":1.4695,""american"":-213},""homeML"":{""decimal"":2.84,""american"":184}},{""date"":{""$date"":""2024-12-06T09:00:32.781Z""},""spread"":4.5,""spreadOdds"":-110,""total"":41,""totalOdds"":-107,""awayML"":{""decimal"":1.4695,""american"":-213},""homeML"":{""decimal"":2.84,""american"":184}},{""date"":{""$date"":""2024-12-06T21:00:33.418Z""},""spread"":4.5,""spreadOdds"":101,""total"":41,""totalOdds"":-108,""awayML"":{""decimal"":1.4329,""american"":-231},""homeML"":{""decimal"":2.98,""american"":198}},{""date"":{""$date"":""2024-12-07T09:00:32.356Z""},""spread"":4.5,""spreadOdds"":-100,""total"":41,""totalOdds"":-111,""awayML"":{""decimal"":1.4386,""american"":-228},""homeML"":{""decimal"":2.96,""american"":196}},{""date"":{""$date"":""2024-12-07T21:00:32.921Z""},""spread"":4.5,""spreadOdds"":102,""total"":41,""totalOdds"":-110,""awayML"":{""decimal"":1.431,""american"":-232},""homeML"":{""decimal"":3,""american"":200}},{""date"":{""$date"":""2024-12-08T09:00:32.409Z""},""spread"":4.5,""spreadOdds"":-102,""total"":41,""totalOdds"":-110,""awayML"":{""decimal"":1.4525,""american"":-221},""homeML"":{""decimal"":2.9,""american"":190}}]",22.19,16.69,5.5,38.88,1,0,0,0,1,0,4,14,11,25,3,2024-12-08T18:00:00.000Z
4733360,2024,reg,14,JAC,Jacksonville Jaguars,TEN,Tennessee Titans,-3.5,40,"[{""date"":{""$date"":""2024-12-03T21:00:33.866Z""},""spread"":-3.5,""spreadOdds"":-106,""total"":39,""totalOdds"":101,""awayML"":{""decimal"":2.66,""american"":166},""homeML"":{""decimal"":1.5263,""american"":-190}},{""date"":{""$date"":""2024-12-04T09:00:33.076Z""},""spread"":-3.5,""spreadOdds"":-105,""total"":39,""totalOdds"":102,""awayML"":{""decimal"":2.64,""american"":164},""homeML"":{""decimal"":1.5319,""american"":-188}},{""date"":{""$date"":""2024-12-04T21:00:33.359Z""},""spread"":-3.5,""spreadOdds"":-105,""total"":39,""totalOdds"":102,""awayML"":{""decimal"":2.64,""american"":164},""homeML"":{""decimal"":1.5319,""american"":-188}},{""date"":{""$date"":""2024-12-05T09:00:32.685Z""},""spread"":-3.5,""spreadOdds"":-105,""total"":39,""totalOdds"":102,""awayML"":{""decimal"":2.64,""american"":164},""homeML"":{""decimal"":1.5319,""american"":-188}},{""date"":{""$date"":""2024-12-05T21:00:33.224Z""},""spread"":-3.5,""spreadOdds"":106,""total"":39,""totalOdds"":102,""awayML"":{""decimal"":2.52,""american"":152},""homeML"":{""decimal"":1.5747,""american"":-174}},{""date"":{""$date"":""2024-12-06T09:00:32.903Z""},""spread"":-3.5,""spreadOdds"":106,""total"":40,""totalOdds"":-106,""awayML"":{""decimal"":2.53,""american"":153},""homeML"":{""decimal"":1.5747,""american"":-174}},{""date"":{""$date"":""2024-12-06T21:00:33.580Z""},""spread"":-3.5,""spreadOdds"":104,""total"":40,""totalOdds"":-105,""awayML"":{""decimal"":2.54,""american"":154},""homeML"":{""decimal"":1.5682,""american"":-176}},{""date"":{""$date"":""2024-12-07T09:00:32.536Z""},""spread"":-3.5,""spreadOdds"":104,""total"":40,""totalOdds"":-105,""awayML"":{""decimal"":2.54,""american"":154},""homeML"":{""decimal"":1.5682,""american"":-176}},{""date"":{""$date"":""2024-12-07T21:00:33.042Z""},""spread"":-3.5,""spreadOdds"":104,""total"":40,""totalOdds"":-105,""awayML"":{""decimal"":2.54,""american"":154},""homeML"":{""decimal"":1.5682,""american"":-176}},{""date"":{""$date"":""2024-12-08T09:00:32.567Z""},""spread"":-3.5,""spreadOdds"":104,""total"":40,""totalOdds"":-105,""awayML"":{""decimal"":2.55,""american"":155},""homeML"":{""decimal"":1.565,""american"":-177}}]",17.56,21.94,-4.39,39.5,0,0,0,0,1,0,2,10,6,16,4,2024-12-08T18:00:00.000Z
4733361,2024,reg,14,LV,Las Vegas Raiders,TB,Tampa Bay Buccaneers,-7,47,"[{""date"":{""$date"":""2024-12-03T21:00:34.008Z""},""spread"":-7,""spreadOdds"":110,""total"":47,""totalOdds"":-113,""awayML"":{""decimal"":3.44,""american"":244},""homeML"":{""decimal"":1.3436,""american"":-291}},{""date"":{""$date"":""2024-12-04T09:00:33.216Z""},""spread"":-7,""spreadOdds"":101,""total"":47,""totalOdds"":-116,""awayML"":{""decimal"":3.6,""american"":260},""homeML"":{""decimal"":1.3195,""american"":-313}},{""date"":{""$date"":""2024-12-04T21:00:33.480Z""},""spread"":-7,""spreadOdds"":100,""total"":47,""totalOdds"":-116,""awayML"":{""decimal"":3.63,""american"":263},""homeML"":{""decimal"":1.3165,""american"":-316}},{""date"":{""$date"":""2024-12-05T09:00:32.884Z""},""spread"":-7,""spreadOdds"":102,""total"":47,""totalOdds"":-116,""awayML"":{""decimal"":3.6,""american"":260},""homeML"":{""decimal"":1.3195,""american"":-313}},{""date"":{""$date"":""2024-12-05T21:00:33.404Z""},""spread"":-7,""spreadOdds"":103,""total"":47,""totalOdds"":-116,""awayML"":{""decimal"":3.58,""american"":258},""homeML"":{""decimal"":1.3236,""american"":-309}},{""date"":{""$date"":""2024-12-06T09:00:33.102Z""},""spread"":-7,""spreadOdds"":103,""total"":47,""totalOdds"":-116,""awayML"":{""decimal"":3.58,""american"":258},""homeML"":{""decimal"":1.3236,""american"":-309}},{""date"":{""$date"":""2024-12-06T21:00:33.721Z""},""spread"":-7,""spreadOdds"":104,""total"":47,""totalOdds"":-115,""awayML"":{""decimal"":3.58,""american"":258},""homeML"":{""decimal"":1.3236,""american"":-309}},{""date"":{""$date"":""2024-12-07T09:00:32.695Z""},""spread"":-7,""spreadOdds"":104,""total"":47,""totalOdds"":-115,""awayML"":{""decimal"":3.58,""american"":258},""homeML"":{""decimal"":1.3236,""american"":-309}},{""date"":{""$date"":""2024-12-07T21:00:33.240Z""},""spread"":-7,""spreadOdds"":103,""total"":47,""totalOdds"":-111,""awayML"":{""decimal"":3.59,""american"":259},""homeML"":{""decimal"":1.3215,""american"":-311}},{""date"":{""$date"":""2024-12-08T09:00:32.726Z""},""spread"":-7,""spreadOdds"":104,""total"":47,""totalOdds"":-110,""awayML"":{""decimal"":3.59,""american"":259},""homeML"":{""decimal"":1.3226,""american"":-310}}]",19.13,27.75,-8.63,46.88,1,0,1,0,1,0,6,13,28,41,-15,2024-12-08T18:00:00.000Z
4733362,2024,reg,14,CLE,Cleveland Browns,PIT,Pittsburgh Steelers,-7,44,"[{""date"":{""$date"":""2024-12-04T21:00:33.639Z""},""spread"":-7,""spreadOdds"":109,""total"":44,""totalOdds"":-109,""awayML"":{""decimal"":3.41,""american"":241},""homeML"":{""decimal"":1.3497,""american"":-286}},{""date"":{""$date"":""2024-12-05T09:00:33.005Z""},""spread"":-7,""spreadOdds"":107,""total"":44,""totalOdds"":-114,""awayML"":{""decimal"":3.45,""american"":245},""homeML"":{""decimal"":1.3425,""american"":-292}},{""date"":{""$date"":""2024-12-05T21:00:33.620Z""},""spread"":-7,""spreadOdds"":107,""total"":44,""totalOdds"":-112,""awayML"":{""decimal"":3.45,""american"":245},""homeML"":{""decimal"":1.3425,""american"":-292}},{""date"":{""$date"":""2024-12-06T09:00:33.242Z""},""spread"":-7,""spreadOdds"":105,""total"":44,""totalOdds"":-113,""awayML"":{""decimal"":3.48,""american"":248},""homeML"":{""decimal"":1.3378,""american"":-296}},{""date"":{""$date"":""2024-12-06T21:00:33.842Z""},""spread"":-7,""spreadOdds"":103,""total"":44,""totalOdds"":-112,""awayML"":{""decimal"":3.53,""american"":253},""homeML"":{""decimal"":1.3311,""american"":-302}},{""date"":{""$date"":""2024-12-07T09:00:32.835Z""},""spread"":-7,""spreadOdds"":105,""total"":44,""totalOdds"":-116,""awayML"":{""decimal"":3.51,""american"":251},""homeML"":{""decimal"":1.3333,""american"":-300}},{""date"":{""$date"":""2024-12-07T21:00:33.382Z""},""spread"":-7,""spreadOdds"":108,""total"":44,""totalOdds"":-117,""awayML"":{""decimal"":3.48,""american"":248},""homeML"":{""decimal"":1.339,""american"":-295}},{""date"":{""$date"":""2024-12-08T09:00:32.849Z""},""spread"":-7,""spreadOdds"":108,""total"":44,""totalOdds"":-114,""awayML"":{""decimal"":3.47,""american"":247},""homeML"":{""decimal"":1.339,""american"":-295}}]",18.07,25.47,-7.4,43.53,1,0,1,0,1,0,6,14,27,41,-13,2024-12-08T18:00:00.000Z
4733363,2024,reg,14,CAR,Carolina Panthers,PHI,Philadelphia Eagles,-13.5,45,"[{""date"":{""$date"":""2024-12-03T21:00:34.386Z""},""spread"":-13,""spreadOdds"":102,""total"":46,""totalOdds"":-106,""awayML"":{""decimal"":5.99,""american"":499},""homeML"":{""decimal"":1.1477,""american"":-677}},{""date"":{""$date"":""2024-12-04T09:00:33.477Z""},""spread"":-13,""spreadOdds"":103,""total"":46,""totalOdds"":-105,""awayML"":{""decimal"":5.98,""american"":498},""homeML"":{""decimal"":1.1479,""american"":-676}},{""date"":{""$date"":""2024-12-04T21:00:33.760Z""},""spread"":-13,""spreadOdds"":103,""total"":46,""totalOdds"":-105,""awayML"":{""decimal"":5.98,""american"":498},""homeML"":{""decimal"":1.1479,""american"":-676}},{""date"":{""$date"":""2024-12-05T09:00:33.165Z""},""spread"":-13,""spreadOdds"":-103,""total"":46,""totalOdds"":-104,""awayML"":{""decimal"":6.15,""american"":515},""homeML"":{""decimal"":1.1418,""american"":-705}},{""date"":{""$date"":""2024-12-05T21:00:33.780Z""},""spread"":-13,""spreadOdds"":-101,""total"":46,""totalOdds"":-105,""awayML"":{""decimal"":6.09,""american"":509},""homeML"":{""decimal"":1.1437,""american"":-696}},{""date"":{""$date"":""2024-12-06T09:00:33.363Z""},""spread"":-13,""spreadOdds"":-110,""total"":46,""totalOdds"":-105,""awayML"":{""decimal"":6.34,""american"":534},""homeML"":{""decimal"":1.1355,""american"":-738}},{""date"":{""$date"":""2024-12-06T21:00:34.040Z""},""spread"":-13,""spreadOdds"":-115,""total"":46,""totalOdds"":-104,""awayML"":{""decimal"":6.48,""american"":548},""homeML"":{""decimal"":1.1312,""american"":-762}},{""date"":{""$date"":""2024-12-07T09:00:32.994Z""},""spread"":-13.5,""spreadOdds"":-107,""total"":46,""totalOdds"":-113,""awayML"":{""decimal"":6.69,""american"":569},""homeML"":{""decimal"":1.125,""american"":-800}},{""date"":{""$date"":""2024-12-07T21:00:33.539Z""},""spread"":-13.5,""spreadOdds"":-106,""total"":45,""totalOdds"":-100,""awayML"":{""decimal"":6.67,""american"":567},""homeML"":{""decimal"":1.1256,""american"":-796}},{""date"":{""$date"":""2024-12-08T09:00:32.988Z""},""spread"":-13.5,""spreadOdds"":-106,""total"":45,""totalOdds"":-100,""awayML"":{""decimal"":6.67,""american"":567},""homeML"":{""decimal"":1.1256,""american"":-796}}]",17.19,31.31,-14.13,48.5,1,0,0,0,0,0,2,16,22,38,-6,2024-12-08T18:00:00.000Z
4733364,2024,reg,14,NYJ,N.Y. Jets Jets,MIA,Miami Dolphins,-6,44.5,"[{""date"":{""$date"":""2024-12-03T21:00:34.527Z""},""spread"":-6.5,""spreadOdds"":102,""total"":44.5,""totalOdds"":-104,""awayML"":{""decimal"":3.24,""american"":224},""homeML"":{""decimal"":1.3788,""american"":-264}},{""date"":{""$date"":""2024-12-04T09:00:33.695Z""},""spread"":-6.5,""spreadOdds"":102,""total"":44.5,""totalOdds"":-103,""awayML"":{""decimal"":3.24,""american"":224},""homeML"":{""decimal"":1.3788,""american"":-264}},{""date"":{""$date"":""2024-12-04T21:00:33.958Z""},""spread"":-6.5,""spreadOdds"":101,""total"":44.5,""totalOdds"":104,""awayML"":{""decimal"":3.27,""american"":227},""homeML"":{""decimal"":1.3731,""american"":-268}},{""date"":{""$date"":""2024-12-05T09:00:33.382Z""},""spread"":-6.5,""spreadOdds"":101,""total"":44.5,""totalOdds"":103,""awayML"":{""decimal"":3.26,""american"":226},""homeML"":{""decimal"":1.3759,""american"":-266}},{""date"":{""$date"":""2024-12-05T21:00:33.941Z""},""spread"":-6,""spreadOdds"":-103,""total"":44.5,""totalOdds"":103,""awayML"":{""decimal"":3.19,""american"":219},""homeML"":{""decimal"":1.3876,""american"":-258}},{""date"":{""$date"":""2024-12-06T09:00:33.561Z""},""spread"":-6,""spreadOdds"":-103,""total"":44.5,""totalOdds"":103,""awayML"":{""decimal"":3.19,""american"":219},""homeML"":{""decimal"":1.3876,""american"":-258}},{""date"":{""$date"":""2024-12-06T21:00:34.161Z""},""spread"":-6,""spreadOdds"":-104,""total"":44.5,""totalOdds"":101,""awayML"":{""decimal"":3.22,""american"":222},""homeML"":{""decimal"":1.3831,""american"":-261}},{""date"":{""$date"":""2024-12-07T09:00:33.153Z""},""spread"":-6,""spreadOdds"":-107,""total"":44.5,""totalOdds"":-102,""awayML"":{""decimal"":3.26,""american"":226},""homeML"":{""decimal"":1.3745,""american"":-267}},{""date"":{""$date"":""2024-12-07T21:00:33.701Z""},""spread"":-6,""spreadOdds"":-106,""total"":44.5,""totalOdds"":-102,""awayML"":{""decimal"":3.26,""american"":226},""homeML"":{""decimal"":1.3745,""american"":-267}},{""date"":{""$date"":""2024-12-08T09:00:33.127Z""},""spread"":-6,""spreadOdds"":-108,""total"":44.5,""totalOdds"":-103,""awayML"":{""decimal"":3.29,""american"":229},""homeML"":{""decimal"":1.3704,""american"":-270}}]",18.44,26.81,-8.38,45.25,1,0,0,1,1,0,4,26,32,58,-6,2024-12-08T18:00:00.000Z
4733365,2024,reg,14,SEA,Seattle Seahawks,ARI,Arizona Cardinals,-3,45.5,"[{""date"":{""$date"":""2024-12-03T21:00:34.648Z""},""spread"":-2.5,""spreadOdds"":-109,""total"":44.5,""totalOdds"":-112,""awayML"":{""decimal"":2.24,""american"":124},""homeML"":{""decimal"":1.7143,""american"":-140}},{""date"":{""$date"":""2024-12-04T09:00:33.835Z""},""spread"":-2.5,""spreadOdds"":-110,""total"":44.5,""totalOdds"":-113,""awayML"":{""decimal"":2.25,""american"":125},""homeML"":{""decimal"":1.7092,""american"":-141}},{""date"":{""$date"":""2024-12-04T21:00:34.119Z""},""spread"":-2.5,""spreadOdds"":-115,""total"":44.5,""totalOdds"":-113,""awayML"":{""decimal"":2.3,""american"":130},""homeML"":{""decimal"":1.6803,""american"":-147}},{""date"":{""$date"":""2024-12-05T09:00:33.523Z""},""spread"":-2.5,""spreadOdds"":-114,""total"":44.5,""totalOdds"":-113,""awayML"":{""decimal"":2.29,""american"":129},""homeML"":{""decimal"":1.6897,""american"":-145}},{""date"":{""$date"":""2024-12-05T21:00:34.101Z""},""spread"":-2.5,""spreadOdds"":-112,""total"":44.5,""totalOdds"":-115,""awayML"":{""decimal"":2.27,""american"":127},""homeML"":{""decimal"":1.6944,""american"":-144}},{""date"":{""$date"":""2024-12-06T09:00:33.683Z""},""spread"":-2.5,""spreadOdds"":-112,""total"":44.5,""totalOdds"":-115,""awayML"":{""decimal"":2.27,""american"":127},""homeML"":{""decimal"":1.6944,""american"":-144}},{""date"":{""$date"":""2024-12-06T21:00:34.339Z""},""spread"":-2.5,""spreadOdds"":-110,""total"":44.5,""totalOdds"":-115,""awayML"":{""decimal"":2.25,""american"":125},""homeML"":{""decimal"":1.7092,""american"":-141}},{""date"":{""$date"":""2024-12-07T09:00:33.277Z""},""spread"":-2.5,""spreadOdds"":-115,""total"":44.5,""totalOdds"":-109,""awayML"":{""decimal"":2.29,""american"":129},""homeML"":{""decimal"":1.6849,""american"":-146}},{""date"":{""$date"":""2024-12-07T21:00:33.879Z""},""spread"":-2.5,""spreadOdds"":-115,""total"":44.5,""totalOdds"":-109,""awayML"":{""decimal"":2.29,""american"":129},""homeML"":{""decimal"":1.6849,""american"":-146}},{""date"":{""$date"":""2024-12-08T09:00:33.267Z""},""spread"":-2.5,""spreadOdds"":-116,""total"":44.5,""totalOdds"":-110,""awayML"":{""decimal"":2.3,""american"":130},""homeML"":{""decimal"":1.6803,""american"":-147}},{""date"":{""$date"":""2024-12-08T21:00:33.274Z""},""spread"":-3,""spreadOdds"":-113,""total"":45.5,""totalOdds"":103,""awayML"":{""decimal"":2.59,""american"":159},""homeML"":{""decimal"":1.5618,""american"":-178}}]",21.13,22,-0.88,43.13,0,0,1,0,0,0,2,30,18,48,12,2024-12-08T21:05:00.000Z
4733366,2024,reg,14,BUF,Buffalo Bills,LAR,L.A. Rams Rams,3.5,50,"[{""date"":{""$date"":""2024-12-03T21:00:34.865Z""},""spread"":4.5,""spreadOdds"":-105,""total"":49,""totalOdds"":-100,""awayML"":{""decimal"":1.4695,""american"":-213},""homeML"":{""decimal"":2.84,""american"":184}},{""date"":{""$date"":""2024-12-04T09:00:33.975Z""},""spread"":4.5,""spreadOdds"":-101,""total"":49,""totalOdds"":-101,""awayML"":{""decimal"":1.4587,""american"":-218},""homeML"":{""decimal"":2.89,""american"":189}},{""date"":{""$date"":""2024-12-04T21:00:34.240Z""},""spread"":4.5,""spreadOdds"":-102,""total"":49,""totalOdds"":103,""awayML"":{""decimal"":1.4608,""american"":-217},""homeML"":{""decimal"":2.87,""american"":187}},{""date"":{""$date"":""2024-12-05T09:00:33.645Z""},""spread"":4.5,""spreadOdds"":-121,""total"":49,""totalOdds"":104,""awayML"":{""decimal"":1.5208,""american"":-192},""homeML"":{""decimal"":2.67,""american"":167}},{""date"":{""$date"":""2024-12-05T21:00:34.262Z""},""spread"":3.5,""spreadOdds"":-108,""total"":49,""totalOdds"":104,""awayML"":{""decimal"":1.5464,""american"":-183},""homeML"":{""decimal"":2.6,""american"":160}},{""date"":{""$date"":""2024-12-06T09:00:33.900Z""},""spread"":3.5,""spreadOdds"":-108,""total"":49,""totalOdds"":104,""awayML"":{""decimal"":1.5464,""american"":-183},""homeML"":{""decimal"":2.6,""american"":160}},{""date"":{""$date"":""2024-12-06T21:00:34.500Z""},""spread"":3.5,""spreadOdds"":-110,""total"":49,""totalOdds"":104,""awayML"":{""decimal"":1.5525,""american"":-181},""homeML"":{""decimal"":2.59,""american"":159}},{""date"":{""$date"":""2024-12-07T09:00:33.456Z""},""spread"":3.5,""spreadOdds"":-109,""total"":49,""totalOdds"":104,""awayML"":{""decimal"":1.5495,""american"":-182},""homeML"":{""decimal"":2.6,""american"":160}},{""date"":{""$date"":""2024-12-07T21:00:34.021Z""},""spread"":3.5,""spreadOdds"":-105,""total"":49,""totalOdds"":104,""awayML"":{""decimal"":1.5263,""american"":-190},""homeML"":{""decimal"":2.66,""american"":166}},{""date"":{""$date"":""2024-12-08T09:00:33.427Z""},""spread"":3.5,""spreadOdds"":-114,""total"":49,""totalOdds"":100,""awayML"":{""decimal"":1.565,""american"":-177},""homeML"":{""decimal"":2.55,""american"":155}},{""date"":{""$date"":""2024-12-08T21:00:33.416Z""},""spread"":3.5,""spreadOdds"":-110,""total"":50,""totalOdds"":101,""awayML"":{""decimal"":1.5587,""american"":-179},""homeML"":{""decimal"":2.6,""american"":160}}]",28.69,22.69,6,51.38,0,0,0,0,1,0,2,42,44,86,-2,2024-12-08T21:25:00.000Z
