statusCode,body__Items__gameStatus,body__Items__awayhome,body__Items__location,body__Items__season,body__Items__gameUID,body__Items__odds__total,body__Items__odds__history__date,body__Items__odds__history__total,body__Items__odds__history__prices__spreadHomePrice,body__Items__odds__history__prices__totalOverPrice,body__Items__odds__history__prices__spreadAwayPrice,body__Items__odds__history__prices__totalUnderPrice,body__Items__odds__history__spread,body__Items__odds__prices__spreadHomePrice,body__Items__odds__prices__totalOverPrice,body__Items__odds__prices__spreadAwayPrice,body__Items__odds__prices__totalUnderPrice,body__Items__odds__spread,body__Items__sport,body__Items__startDateTime,body__Items__homeTeam__shortName,body__Items__homeTeam__fullName,body__Items__homeTeam__code,body__Items__gameWeek,body__Items__year,body__Items__results__homeTeam__score,body__Items__results__total,body__Items__results__awayTeam__score,body__Items__results__spread,body__Items__stadium,body__Items__gameId,body__Items__awayTeam__shortName,body__Items__awayTeam__fullName,body__Items__awayTeam__code,body__Count,body__ScannedCount
200,final,DENNYJ,"East Rutherford, New Jersey",Regular,2026105,41,Mon Sep 28 2020 18:29:51 GMT+0000 (Coordinated Universal Time),40,-116,-106,105,-105,3,-109,-104,-101,-107,-1,nfl,Fri Oct 02 2020 04:20:00 GMT+0000 (Coordinated Universal Time),Jets,New York Jets,NYJ,4,2020,28,65,37,9,MetLife Stadium,2020regDENNYJ,Broncos,Denver Broncos,DEN,16,240
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),40,-116,-106,105,-105,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:25 GMT+0000 (Coordinated Universal Time),40,-116,-105,105,-106,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:29 GMT+0000 (Coordinated Universal Time),40,-117,-104,106,-107,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Wed Sep 30 2020 09:00:26 GMT+0000 (Coordinated Universal Time),40,-112,106,101,-119,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 09:00:26 GMT+0000 (Coordinated Universal Time),41,104,-105,-115,-106,-2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 22:08:24 GMT+0000 (Coordinated Universal Time),41,-109,-104,-102,-107,1,,,,,,,,,,,,,,,,,,,,,,,
,Unplayed,NEKC,"Kansas City, Missouri",Regular,1172165,52,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),null,108,,-119,,-7,-101,-105,-109,-106,-7,nfl,Mon Oct 05 2020 00:25:00 GMT+0000 (Coordinated Universal Time),Chiefs,Kansas City Chiefs,KC,4,2020,,,,,Arrowhead Stadium,2020regNEKC,Patriots,New England Patriots,NE,,
,,,,,,,Mon Sep 28 2020 18:33:40 GMT+0000 (Coordinated Universal Time),null,108,,-119,,-7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:26 GMT+0000 (Coordinated Universal Time),null,108,,-119,,-7,,,,,,,,,,,,,,,,,,,,,,,
